Sp;NGrTotest;Vm
AGREUP;52.2;2.7402
AGREUP;92.8;5.7107
AGREUP;234.9;3.7874
AGREUP;126.15;4.208
AGREUP;91.35;4.6764
AGREUP;118.9;4.5658
AGREUP;92.8;5.4989
AGREUP;123.25;6.0688
AGREUP;204.45;5.2587
AGREUP;114.55;5.4009
AGREUP;73.95;2.4289
AGREUP;181.25;5.7908
AGREUP;111.65;4.3584
AGREUP;84.1;3.0194
ARESER;988.8138;0.2589
ARESER;7378.45300436047;0.2509
ARESER;5370.11442569714;0.1953
ARESER;8516.87717915832;0.072
ARESER;1983.25385206259;0.0922
ARESER;1026.8451;0.0848
ARESER;3905.70679607843;0.0502
ARESER;2842.15262937063;0.03
ARESER;7697.22448907285;0.0929
ARESER;1269.53142241379;0.0288
ARESER;4860.17642647059;0.0539
ARESER;3122.5903894198;0.0432
ARIROT;77.4;2.5837
ARIROT;77.4;2.9822
ARIROT;387;4.8398
ARIROT;77.4;3.8271
ARIROT;154.8;3.2125
ARIROT;154.8;4.0537
ARIROT;77.4;3.7995
AVEBAR;18.85159;0.7485
AVEBAR;4.497265;0.3794
AVEBAR;26.792155;0.9408
AVEBAR;15.34996;1.0311
AVEBAR;139.6725625;6.2405
AVEBAR;154.09468;6.3843
AVEBAR;18.5185225;0.8972
AVEBAR;15.4531225;1.3303
AVEBAR;190.861795;12.0858
AVEBAR;53.1280675;1.8016
AVEBAR;30.8744425;3.8879
AVEBAR;7.08517;0.4081
AVEBAR;9.6229675;0.4865
AVEBAR;19.5619375;1.0913
AVEBAR;6.7108375;0.3691
BRAPHO;25;1.4411
BRAPHO;8;3.3895
BRAPHO;12;8.7321
BRAPHO;32;0.7551
BRAPHO;27;2.84
BRAPHO;18;1.7812
BRAPHO;4;2.2782
BRAPHO;7;3.0333
BRAPHO;27;4.5069
BRAPHO;3;5.2177
BRAPHO;1;2.6946
BRAPHO;15;2.9896
BRAPHO;15;2.6708
BRAPHO;5;7.183
BRAPHO;4;2.3428
BRAPHO;7;1.0896
